,rating,text
0,5.0,"I've got to hand it to Liane Moriarty. Just when I think I've seen it all, she comes along and completely surprises me with this sparkling and startling gem of a tale.Joy Delaney, beloved wife and mother of four, has disappeared. Her adult children are rightfully aghast, but they're reluctant to report her missing. Because they know the prime suspect will be their father, and they're not really sure of his innocence. When the police start asking questions, it quickly becomes clear everyone in the family has stories to tell and secrets to hide. And before it's all over, everything will be revealed and laid bare.I've really been enjoying stories about dysfunctional families lately, and this is such a superb one. The four siblings are all trying to figure out if their father could've really murdered their mother, and if so, which side would they be on? It's a fascinating premise, and the progression of the story captures all of the nuanced facets that this dilemma would bring to the family.What I've always admired about Moriarty's writing is her sharp and astute observations of people and their flaws. She has this ability to peel back the layers of family relationships and what it means to be human, and to expose everything ugly and beautiful within, while injecting just that right dose of humor. This book hits upon tender subjects that everyone would recognize as familiar, yet instead of making me cry, it made me laugh.Needless to say, I found this whole thing to be utterly riveting and unputdownable. The characters are memorable, the strife feels all too real, and the dialogue is snappy. I devoured it in just a few days. While the mystery isn't the core of this book, there were still plenty of revelations along the way that kept me surprised and delighted.Liane Moriarty is back! This seemingly simple tale of dysfunctional families and relationships, of people's flaws and the messiness of their lives, of unmet expectations and unspoken dreams, hit all the right notes for me. It feels like Moriarty's last two books have been a little bit off of her true form. But with this one, she again returns to the pinnacle of her craft.My heartfelt thanks for the advance copy that was provided for my honest and unbiased review."
1,2.0,"2.5 STARS / I was going to give it a 3, but the end ruined itMehRead 467 pages and also listened to much of it...*Length: 18 hrs and 3 mins*Unabridged Audiobook*Narrated by: Caroline LeeThis was a long time to invest in characters and a story. What started as a mystery of a missing mother became a bit of a slog with lots of repetition, dialogue and nothing happening (tennis references, migraines, anxiety, food, more tennis). There were a few moments of humor, but not enough to make this one very enjoyable. The entire storyline was anticlimatic and unconvincing. I kept waiting for everything to make sense, it didn't (how can these smart people be so foolish)? I kept waiting for some kind of revelation (not worth it). I kept waiting for the explosive ending, never happened (You want me to believe that happened?). I won't even go into the COVID chapter (what was that)? I don't mind slow burns if the story holds my interest, but this one became frustrating and was definitely overwritten. I missed the fun and craziness her books usually deliver. It was just okay, I didn't love it. Oh well.....moving on.....Audible credit/ Library loan/ Read in October 2021"
2,5.0,"Do you like apples? Well I got my favorite author back. How do you like them apples? My relationship with Liane Moriarty has felt a little one-sided in recent years. I became smitten with her when I read The Husband’s Secret but really fell hard for Big Little Lies. I went back and read most of her previous catalog but then… Truly Madly Guilty and Nine Perfect Strangers. (AKA Truly Madly OMG-pleasestopsayingatthebarbecue and Nine Perfect WTH-isthisactuallyhappeningamIondrugs.)I really needed a winner from my dear Liane or I was going to have to consider a breakup, and I’m over the moon that she delivered. Apples Never Fall follows the tennis-obsessed Delaney family, which includes two recently-retired parents and their four adult children. Matriarch Joy has gone missing, so there is an intriguing “what happened to mum?” plot to keep the pages turning. The thing that Liane Moriarty absolutely excels at is characterization. She must be the most keen observer of the human condition, because she nails insightful - and accurate - idiosyncrasies that make each of her fictional creations feel truly real. Fair warning though that there is a lot of tennis in this book. A LOT. You don’t have to like tennis to like the book, but if you love it… you’ll love it. And because you know I can't resist a little wordplay, I’ll end with this: Liane Moriarty is back in form and serving aces once again. Blog: https://www.confettibookshelf.com/"
3,1.0,"The real tragedy here? I will never get the hours and hours back that I wasted reading this. I’m a DNF Queen but I kept listening when I hated everything about it. I’ve seen the glowing reviews and knew it would SURELY get better if I just listened a little longer.Tedious, plodding, boring, and pointless. Plus, at 467 pages, it was at least 150 pages too long. I typically love slow-burn character studies as well as dysfunctional families, but not this time. When I finally waded through nearly the entire book to find out the resolution to the ""riveting"" mystery of what happened to Joy and who the mystery girl was, the book firmly sealed its fate as the worst book I have read this year. The ending made the book WORSE, not better. The turd on top of this steaming pile was a stupid pandemic chapter.Because I like to find at least one positive thing about a book, I will say there were flashes of humor that I enjoyed but they were too few and far between to make it worth slogging through such a long book. My time would have been better spent watching paint dry."
4,3.0,"Liane Moriarty's latest offering is an Aussie family drama featuring the renowned tennis obsessed Delaney family, the tall, handsome Stan, tennis coach extraordinaire, and his wife, Joy, the force behind their tennis business. They have 4 adult children, the unable to settle and plagued with mental health issues, Amy, the solid, reliable, handyman and business communications teacher, Logan, the slick wealthy divorced trader, Troy, and the migraine troubled physiotherapist, Brooke, struggling to make ends meet with her business. Joy and Stan have retired, having sold their tennis business, but retirement does not sit well with a couple who have led such active and busy lives, their long and happy marriage of 50 years is beginning to show signs of strain. The 69 year old Joy is desperately repressing her resentments and desire for grandchildren, placing her hopes on Logan and his partner, Indira, and Brooke's 10 year marriage to Grant, in expectation of them having a child soon. The only problem is that Indira has left Logan, and Grant has separated from Brooke, and neither Logan nor Brooke are keen on sharing this news with their parents. The story begins with the adult children discussing their missing mother, Joy had sent them all a text saying she was going off grid for a while. The only thing is that it is so unlike their mother to go off on her own, she left no note behind, and their father's face has what looks to be nail scratches, all of which has them worried, should they report Joy missing to the police? The narrative goes back and forth from the previous September and the present, the arrival of a strange woman, Savannah, turning up on Joy and Stan's doorstep, claiming to have been abused by her boyfriend. She is welcomed by Joy and Stan, taking up residence with them, but who exactly is she?There are many aspects of this novel that I enjoyed, particularly the complicated relationships between the adult Delaney siblings and their relationship with tennis, and the closer examination of Stan and Joy's perfect marriage and the flaws that come to be exposed, all of which lead the police to believe that Stan may be guilty of murder. I have loved all the Liane Moriarty books I have read previously, but I struggled with this one more, all the pieces were there, but the overlong story and the characters she created didn't capture my interest as much. I missed the bizarre and offbeat touches and the magical spark that usually lift her novels failed to ignite for me. What spurred me on to complete the novel was that I wanted to know what happened to Joy and to discover the truth behind the sudden appearance of Savannah in the Delaney family. I am sure there will be many readers who will love this more than me, so do please check other reviews of this book. Many thanks to the publisher for an ARC."
5,3.0,"Jokes 5/5, Storytelling 2/5, Editing 1/5Stan and Joy have been married FOREVER and have recently retired from their Tennis School. As boredom sets in, they hear a knock on the door late one night. A mysterious girl is on their porch. Then, Joy goes missing. What happened to Joy? Is she alive or dead? And who is responsible?This book was quite funny; however, it was really, really long. Additionally, as a mystery, it could have been formatted in a much more compelling way. There was so much backstory on this that I even forgot that Joy was missing for a good portion of the book. Applies Never Fall tried to touch on way too many things all at once: the pandemic, all different kinds of relationships, Troy's views, Polly Perkins, migraines, depression, and more. It tried to cover everything and the kitchen sink. Truthfully, I would have enjoyed this book more if it was edited down to half of its length.Overall, a book which is funny at times but too long."
6,4.0,"Apples Never Fall by Liane Moriarty (Author), Caroline Lee (Narrator)This story looked so interesting but several of my friends started and didn't finish the book so I was apprehensive about giving the audiobook a try because it comes in at 18 hours at normal speed. I always finish a book so I'd be in for a long slog if I didn't like it. The not finishing a book is why I'm very careful about the books I accept or check out from the library. Once I started the audiobook, I wondered if I could stand so much of Joy yakking out loud and in her head while her husband, Stan, did his silent, surly thing. And the narrator's voice could be so squeaky at times, or a lot, actually, And then, Savannah showed up and silly Joy and Stan let her in and allow her to just STAY!?!?!? (My inner voice just squeaked on the word stay, now that I have the narrator stuck in my head). I became hooked on the story but also fell in love with the narration. It was so dramatic and sometimes silly and I adored it. We get to be there in everybody's head and also we get to eavesdrop on all the gossip and guessing about what is going on and what has gone on in the past. People thinking things that you'd never say out loud although they sometimes do say them out loud and it was so funny. Yes, yes, I felt bad for laughing when sixty nine year old Joy is missing and she might have been murdered by grumpy old seventy year old Stan. We get the story in two timelines, ""now"" and ""specific times in the past six months"". We get to know Joy and Stan's four adult children, all adversely affected by their parents relationship and their dedication to the sport of tennis. But the damage didn't start with Joy and Stan, they each had their rough upbringings that affected the way the reacted to the world around them and the expectations they had for themselves and their children. The story and the situations are very serious but still, life, what we think about life, and what we think about ourselves and others, can be funny and Caroline Lee did such a good job with her dramatic narration. I began to love every single squeak. I do wish I had some answers. At the end, as the author figuratively walks away from the book, there I was in the back of the room, waving my arms wildly, trying to get her attention because I had questions! I want to know things! But shucks, I didn't get the answers to my questions so I'm going to pout a little bit. I slept on this story because I finished it so late at night and woke up liking it even more this morning.Published September 14, 2021 by Macmillan Audio"
7,5.0,"Liane Moriarty does it again! Joy Delaney has gone missing under mysterious circumstances. She’s left a cryptic message for her four children. And Stan, her husband, is acting very weird. The four children are loath to notify the police, because won’t suspicion fall on their dad? What does it say about the family that that’s the first thing they worry about?We hear from Joy, 69 years old, recently retired after selling their tennis academy, six months before she vanishes. Because out of the blue, a young woman arrives on their doorstep one night, after a fight with her boyfriend. I just loved the snarky humor of this story. The way Moriarty uses various people overhearing conversations between the siblings to move the story forward is just pitch perfect. The book really gripped me from the get go. We learn that each of the family members has their own secrets. I totally got the family dynamics, about who has to be called in what order, whose nose gets bent out of shape over what, who has what role. It just all rang true. But the book has a lot of depth to it as well. It has so much to say about how we perceive things, about choices made, about what we give up for others. While she’s a minor character, I adored Christina, the detective assigned to investigate Joy’s disappearance. There’s a bit about why her own parents divorced that had me laughing out loud and reading it to my husband (who was smart enough to understand). As the book progresses, the twists start to come fast and furious. I was constantly caught off guard, as I hadn’t anticipated most of them. This is truly a story for which Chekhov’s theory about a gun in act one being used in act two holds particularly true. Everything is tied up nicely here. And I sure didn’t anticipate that ending. One of those endings that just has you going what the h***…Like all of Moriarty’s works, this begs to be made into a mini-series. It’s got it all, the perfect mix of drama and humor, the fully formed characters, a story that has multiple layers. I received this book as a Goodreads giveaway. My thanks to the publisher, Henry Holt and Company."
8,5.0,"The Australian writer, Liane Moriarty, captured the family dynamics how we love and hurt the people closest to us. With complex relationships, flawed personalities, secrets, sibling rivalries and mainly regrets, we are harvested into this household through decades of their mistakes and failures. What could-have-been, what should-have-been and what is, reveals to us each decision they made had an outcome on their life. Brilliantly written with the best uncanny, snarky humor residing in every chapter, I could not stop until the last minute played, as I listened to Caroline Lee read the best rendition of these characters, I hung onto every word and character's life as if they were my neighbors and I was across the white picket fence eavesdropping. These characters are truly embodied into people we have probably grown up with. I can't wait to see this as a Netflix series and who would be typecast. The family finds themselves in a dilemma when the mother has ""gone off grid"" per her text to her adult children. Suspiciously, her phone is found underneath the bed, her bicycle is missing and her glasses found on the table. The opening chapter are the siblings discussing her mysterious disappearance at a local restaurant and whether the father is to blame. The waitress eavesdropping is just one of the many characters sprinkled throughout given insight to their opinion. ""Apples never fall too far from the tree."" Apples for an apple crumble pie...4 apples in the bicycle missing...4 children for every apple...🤔With 4 children all different personalities but unable to maintain a relationship, Amy, Logan, Troy and Brooke share their idea, thoughts and views of growing up in their home and how their dad is capable of such a crime. Dad has scratches on his face and differs on the mention to call the police and report her missing. With the catalyst of clues, it is sure to be their father...don't they always look at the husband first as a suspect?Missing is the mother, Joy Delaney, 69 years old, who delivers a whimsical, ""overly"" helpful, June Cleaver image and ""stay at home"" parent who can be heard as the woman in the Geico commercial calling her son with a conversation about the squirrels in the attic while he fights off bad guys...gets me every time..clueless to what is outside her home, but don't let her fool you. She has secrets of her own. The father, Stan Delaney, a retired outstanding tennis coach developed a tennis empire with his wife and clearly has an obsession for talent... driving his children outside their realm of normalcy. His deadpan character displays gnomic and sarcastic canter that he constantly brings to center front with bitterness, his one time tennis pro student Harry Haddad. The children loathed hearing his name when they were compared to his strength in tennis to their own weaknesses. He reminded them quite often none of them had talent, causing a fury of resentment and instability in their lives.Then there is a stand alone character, Savannah, a stranger to them showing up on their doorstep beaten and bruised by an abusive boyfriend. The house was picked randomingly or was it? She becomes a mainstay earning her right to live with them cooking and cleaning while spending their money. The children soon become envious of her ease into their parents life and begin an investigation of their own before their mother disappeared. Savannah has disappeared too...The story not only develops what happened a year ago with transfers of present time, but gives you a lifetime of their experiences.The ending wasn't perfect, but how do I say it was perfectly woven in? I saw the side of COVID most of us were thinking, but told through the eyes of a clueless Joy. I laughed throughout this story, but on edge for the truth and baring my own soul in the process...We are a delightfully weird species put into perspective by this awesome author. Thanks NetGalley and Macmillan Audio for this incredible ARC in exchange for my honest opinion and review."
9,3.0,"This was good I guess? I think I would have rated it higher if it wasn't for the ending. The explanation of the whole ""what happened to Joy"" thing was just stupid. And then the author decided we all needed to be reminded about the pandemic and that gets suddenly included at the end and I'm actually still kind of mad about that. If it had made sense to include it, like it was an integral part of the plot, I could have been ok with it, but this was just in there for no seemingly no rhyme or reason. Especially since I felt the book should have already ended before that point considering the mystery was already solved. So yeah, those two things made me drop this down to three stars."
